city,date,temp_forecast,temp_lower,temp_upper
San Marino,2026-01-17,4.09,3.51,4.72
San Marino,2026-01-18,5.01,4.46,5.59
San Marino,2026-01-19,4.9,4.3,5.45
Kiszyniów,2026-01-16,-7.72,-8.27,-7.19
Kiszyniów,2026-01-17,-9.26,-9.82,-8.73
Kiszyniów,2026-01-18,-7.43,-7.95,-6.92
Kiszyniów,2026-01-19,-6.18,-6.68,-5.63
Kiszyniów,2026-01-20,-6.7,-7.27,-6.19
Sarajewo,2026-01-15,1.43,0.95,1.92
Sarajewo,2026-01-16,-2.14,-2.66,-1.63
Sarajewo,2026-01-17,-2.87,-3.4,-2.35
Sarajewo,2026-01-18,-1.21,-1.74,-0.7
Sarajewo,2026-01-19,0.02,-0.49,0.53
Podgorica,2026-01-08,4.92,4.26,5.53
Podgorica,2026-01-09,9.64,9.01,10.27
Podgorica,2026-01-10,10.54,9.85,11.16
Podgorica,2026-01-11,10.07,9.43,10.71
Podgorica,2026-01-12,9.42,8.74,10.05
Skopje,2026-01-08,2.68,2.0,3.45
Skopje,2026-01-09,6.17,5.42,7.02
Skopje,2026-01-10,5.81,5.0,6.6
Skopje,2026-01-11,7.24,6.39,8.01
Skopje,2026-01-12,8.42,7.66,9.17
Mińsk,2026-01-16,-10.76,-11.45,-10.08
Mińsk,2026-01-17,-10.1,-10.75,-9.42
Mińsk,2026-01-18,-9.1,-9.74,-8.45
Mińsk,2026-01-19,-9.17,-9.77,-8.48
Mińsk,2026-01-20,-9.01,-9.7,-8.39
Ljubljana,2026-01-08,1.59,0.94,2.28
Ljubljana,2026-01-09,-0.64,-1.28,-0.0
Ljubljana,2026-01-10,-2.79,-3.45,-2.16
Ljubljana,2026-01-11,-2.77,-3.38,-2.12
Ljubljana,2026-01-12,-4.59,-5.21,-3.91
Zagrzeb,2026-01-15,0.89,0.26,1.52
Zagrzeb,2026-01-16,0.24,-0.41,0.86
Zagrzeb,2026-01-17,1.06,0.44,1.65
Zagrzeb,2026-01-18,1.74,1.14,2.38
Zagrzeb,2026-01-19,2.75,2.15,3.35
Kijów,2026-01-16,-11.34,-11.93,-10.7
Kijów,2026-01-17,-10.22,-10.83,-9.62
Kijów,2026-01-18,-10.14,-10.74,-9.49
Kijów,2026-01-19,-9.42,-10.08,-8.82
Kijów,2026-01-20,-8.58,-9.15,-7.99
Moskwa,2026-01-16,-12.23,-12.85,-11.62
Moskwa,2026-01-17,-12.02,-12.66,-11.37
Moskwa,2026-01-18,-11.84,-12.46,-11.28
Moskwa,2026-01-19,-11.67,-12.26,-11.02
Moskwa,2026-01-20,-11.24,-11.84,-10.61
Reykjavik,2026-01-07,-2.63,-3.1,-2.11
Reykjavik,2026-01-08,-4.64,-5.12,-4.14
Reykjavik,2026-01-09,-1.64,-2.11,-1.14
Reykjavik,2026-01-10,-1.25,-1.71,-0.76
Reykjavik,2026-01-11,-5.83,-6.33,-5.34
